address,gft_balance
0x5eb95a642149e96a315828f551f286e55a421dba,9969000000000000000000
0xe62a2ee36a9b9dcd72452b91e72a2b645f5bcb3e,9968998700000000000000
0xa6026a7d0601a3cc5ba48484d156fce22806c307,9957000000000000000000
0x4f96807271f121106342ad3246679ab7a3601bce,9900000000000000000000
0x6f9cd95dc0b280a87d71cc79af40241364c90c15,9842639550900000000000
0xf0b7c1b822516410d0d98c930d79da3d5f40714a,9829166399990000000000
0xcdbca2fc635b919671683df467f5d64671198a2a,9808500000000000000000
0xdc16dab9eff8269e728dabaaeaeaa130f17000a6,9797185734940000000000
0x7c6f96e56fce91733712f22f6d2a13d32f48629e,9717780000000000000000
0x067e8c34c405019662dd4f7d19e46c687af2547f,9682550700000000000000
0x0e807d9ceecd86271356f824967be21999826f25,9680015500000000000000
0x6658b002aef120bda860dfae3bfc509e956c3623,9611064026070000000000
0x96db907bafc84d2bee2d45f31db1c8ad88c90f85,9551654212109927605108
0x470f2f1503945a2f92e69ed4dc42044cf41e124a,9527711027960000000000
0xeffe60ec0bd219760eb40e8b810c54dd2eddc351,9521445000000000000000
0x5aaf6ed9de37a3359e0409ec148212991020facf,9497319132750000000000
0xac93bc5d46f356e3fc990a4d68dec60f4a64ed14,9409481200000000000000
0x420b06b8d730767105e0fea2e2693305b8676c15,9395600000000000000000
0xb0b35f3b0d379f0602c6ee05110862da05480e9f,9350321900000000000000
0x8c01ca84397b5a36aaa89ab4d6c243075a963efc,9297931600000000000000
0x51d6467e6c665c969058a133fde2804865438383,9209391188234119575218
0xdf1542620a93dd50554c10f7761b15846631083e,9173562370060000000000
0x094326955668ace0d139872351b3363dda48a3ad,9167398300000000000000
0x73b823510916a63dd19cadeea04787ef0da60529,8984845000000000000000
0x13e6a46c7e97b307b9897e5ac7038575496e12fb,8946115050000000000000
0xfdd259f1e1bb1c13f6ab226c914135d53f35f9af,8929107800550000000000
0x18e02f4dc132e390d49da00501e607d89e1596a3,8908000000000000073703
0xd1d60f8b03ab3621ba9b3663c741ddeb9e276023,8822000000000000000000
0x1f6419bdc7811efd536d04171a02afc1a6b19856,8794622000000000000000
0x6537287462ffcb977906f2b895ed718384287315,8726128100000000000000
0x17e0ba512244479d807ef2ceb39dc5a4a9600b09,8714932770810000000000
0xe320c8250eb2e372495b82b98d9aabf1cf83df2d,8658709180580000000000
0x80fb78e376c4d1692e77dce7152a17284b633628,8593587454440000000000
0x30aedc3b9865c87da9c98a09dfdf9266a523d966,8558294000000000000000
0x648037a6a7e203207da83bec065491488d138c6f,8500797200000000000000
0x743a3588828d00937700ea482d6f6529c40eea27,8500000000000000000000
0xcb2aa86023d55e17e55d38949adc73681e54fa5c,8479439999990000000000
0xb5cde8b6d0016df68411eea17e84e849e9c2acea,8474183785960000000000
0xa3589968b563aa2a30b735f8ae5116feb06bfb93,8444588599970000000000
0xb1f6a92a7da876c09c1f099ca7738d280c71fca0,8428302100000000000000
0xf5f73b3bc16134d5dc0bcae886b198d197198548,8416345073432443313152
0x59870bf2f094b71c6125b32f3c790a64caeb53e9,8384358356205832911039
